date,mileage,service,
5022018,4,Vehicle serviced,
5022018,4,Pre-delivery inspection completed,
5022018,4,Wheel locks installed,
5022018,4,Tire condition and pressure checked,
5022018,4,Nitrogen fill tires,
5022018,4,Paint protection applied,
5162018,null,Vehicle serviced,
5162018,null,Vehicle washed/detailed,
9282018,3640,Vehicle serviced,
9282018,3640,Maintenance inspection completed,
9282018,3640,Fluids checked,
9282018,3640,Oil and filter changed,
9282018,3640,Tires rotated,
4022019,null,Vehicle serviced,
4022019,null,Maintenance inspection completed,
4022019,null,Fluids checked,
4022019,null,Oil and filter changed,
4022019,null,Tires rotated,
8072019,null,Vehicle serviced,
8072019,null,Maintenance inspection completed,
8072019,null,"15,000 mile service performed",
8072019,null,Mirror(s) checked,
11152019,11154,Vehicle serviced,
11152019,11154,Maintenance inspection completed,
11152019,11154,"20,000 mile service performed",
5182020,15121,Vehicle serviced,
5182020,15121,Maintenance inspection completed,
5182020,15121,"25,000 mile service performed",
5182020,15121,Oil and filter changed,
11272020,19147,Tires rotated,
4112021,19640,Tires rotated,
4172021,19800,Air filter replaced,
4172021,19800,Cabin air filter replaced/cleaned,
4172021,19800,Oil and filter changed,
4172021,19800,Safety inspection performed,
4192021,19783,Vehicle serviced,recall of fuel pump fixed. fuel pump replaced 
7232021,25100,Fluids checked,
7232021,25100,Front wiper blades/refills replaced,
7232021,25100,Window tint installed,
7242021,25125,Tires rotated,
8122021,25442,Antifreeze/coolant flushed/changed,
8122021,25442,Brake fluid flushed/changed,
